arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
22043126,77128005,1,14L-194-AR,2014-03-11 00:00:00,3,N,51,5,35,M,1,2,N,,,,,
22043115,77127981,1,14L-21-AR,2014-01-09 00:00:00,3,N,51,5,35,M,1,2,R,,,,,
22042041,77126070,1,14L-1159-AR,2014-10-27 00:00:00,3,N,51,5,50,M,1,2,R,,,,,
22042029,77126042,1,14L-1187-AR,2014-11-03 00:00:00,3,N,51,5,68,F,1,2,N,,,,,
22042023,77126021,1,14L-1089-AR,2014-10-12 00:00:00,3,N,51,5,45,F,1,2,R,,,,,
22042012,77125968,1,14-177-AR,2014-09-15 00:00:00,3,N,51,5,15,M,1,2,R,R,,,,
22040961,77121288,1,14HAN-164-AR,2014-04-27 00:00:00,3,N,51,5,21,M,1,2,N,,,,,
22040953,77121256,1,14HAN-128-AR,2014-04-03 00:00:00,3,N,51,5,19,M,1,2,N,,,,,
22044127,77129835,1,14L-423-AR,2014-05-10 00:00:00,3,N,51,5,24,M,1,2,R,,,,,
22044125,77129831,2,14L-916-AR,2014-08-31 00:00:00,3,N,51,5,27,M,1,2,N,,,,,
22044123,77129831,1,14L-867-AR,2014-08-23 00:00:00,3,N,51,5,23,M,1,2,N,,,,,
22043019,77126993,1,14L-470-AR,2014-05-21 00:00:00,3,N,51,5,28,F,1,2,N,,,,,
22042008,77125960,1,14-196-AR,2014-09-29 00:00:00,3,N,51,5,33,F,1,2,N,,,,,
22042001,77125112,1,14-127-AR,2014-06-24 00:00:00,3,N,51,5,18,M,1,2,R,,,,,
22041993,77125081,1,14-154-AR,2014-08-12 00:00:00,3,N,51,5,15,M,1,2,R,R,,,,
22041968,77125000,1,14-58-AR,2014-03-15 00:00:00,3,N,51,5,29,F,1,2,N,,,,,
22040916,77120306,1,14E-98-AR,2014-04-30 00:00:00,3,N,51,5,53,F,1,2,N,,,,,
22040896,77120271,1,14E-34-AR,2014-02-18 00:00:00,3,N,51,5,25,M,1,2,R,,,,,
21344307,75058478,2,14BRE-33-AR,2014-06-06 00:00:00,1,N,49,5,21,F,1,2,R,,,,,
22041900,77122145,1,14HAN-183-AR,2014-05-15 00:00:00,3,N,51,5,24,M,1,2,R,,,,,
22040858,77119349,1,14E-139-AR,2014-06-08 00:00:00,3,N,51,5,35,F,1,2,R,,,,,
22040852,77119336,1,14E-119-AR,2014-05-19 00:00:00,3,N,51,5,20,M,1,2,R,,,,,
22040847,77119332,1,14E-118-AR,2014-05-18 00:00:00,3,N,51,5,44,F,1,2,R,,,,,
22040845,77119323,2,14-123-AR,2014-08-06 00:00:00,3,N,51,5,20,M,1,2,R,,,,,
22040844,77119323,1,14-124-AR,2014-08-06 00:00:00,3,N,51,5,17,M,1,2,R,R,,,,
22040812,77118423,1,14-56-AR,2014-04-07 00:00:00,3,N,51,5,27,M,1,2,R,,,,,
22039808,77117465,1,14-61-AR,2014-03-20 00:00:00,3,N,51,5,38,M,1,2,R,,,,,
22039796,77117436,1,15-95-AR,2015-06-29 00:00:00,3,N,51,5,18,M,1,2,N,,,,,
22039794,77117429,1,15-11-AR,2015-01-14 00:00:00,3,N,51,5,36,M,1,2,R,,,,,
22039792,77117412,2,14-271-AR,2014-12-24 00:00:00,3,N,51,5,22,M,1,2,R,,,,,
22039791,77117412,1,14-270-AR,2014-12-23 00:00:00,3,N,51,5,28,M,1,2,R,,,,,
22039781,77117353,1,14-209-AR,2014-09-26 00:00:00,3,N,51,5,62,M,1,2,R,,,,,
